soil_type,land_area,location,budget,water_availability,crop
loamy,15.2,Jaipur,169589,medium,wheat
red,3.1,Nashik,23424,medium,groundnut
sandy,8.5,Vijayawada,107071,high,rice
loamy,5.3,Vijayawada,71963,high,tomato
loamy,12.8,Pune,113538,high,maize
black,8.7,Hyderabad,105313,medium,cotton
loamy,2.5,Nashik,26344,high,tomato
loamy,3.0,Pune,20548,medium,soybean
red,6.1,Pune,97248,medium,cotton
loamy,6.9,Pune,48725,medium,soybean
red,19.5,Delhi,88920,low,millet
red,16.1,Bengaluru,160491,medium,chilli
loamy,2.5,Lucknow,19965,medium,potato
loamy,14.7,Bengaluru,243649,medium,chilli
sandy,12.8,Nashik,120878,medium,onion
loamy,3.9,Nashik,58322,medium,tomato
sandy,19.4,Vijayawada,233909,low,chilli
loamy,6.3,Jaipur,55908,medium,wheat
sandy,10.0,Pune,50194,low,millet
red,7.9,Jaipur,53144,low,groundnut
sandy,8.1,Warangal,51951,medium,groundnut
red,13.2,Bengaluru,112981,medium,chilli
black,11.8,Warangal,139353,medium,cotton
loamy,11.2,Lucknow,124389,medium,wheat
loamy,7.2,Delhi,84072,medium,potato
red,9.6,Pune,49159,low,millet
sandy,1.6,Vijayawada,12476,medium,onion
black,5.0,Nashik,40512,medium,soybean
black,3.7,Pune,53028,medium,rice
red,18.0,Warangal,115902,medium,groundnut
sandy,4.8,Nashik,42892,medium,maize
loamy,1.2,Bengaluru,17370,high,tomato
black,1.3,Hyderabad,13612,medium,soybean
black,14.7,Warangal,166498,medium,potato
loamy,15.2,Jaipur,110613,high,potato
black,4.6,Pune,57787,medium,cotton
loamy,6.8,Vijayawada,55842,medium,chilli
loamy,11.3,Pune,108593,medium,wheat
clay,4.4,Vijayawada,48460,low,onion
loamy,13.9,Nashik,146480,medium,soybean
loamy,12.7,Warangal,116519,medium,chilli
loamy,17.2,Vijayawada,249709,high,tomato
red,7.7,Warangal,72215,medium,cotton
loamy,6.1,Delhi,54503,medium,potato
red,1.5,Warangal,20150,medium,chilli
red,11.9,Nashik,49932,high,millet
loamy,9.2,Vijayawada,128268,medium,tomato
loamy,5.4,Vijayawada,79812,medium,chilli
black,2.8,Pune,17115,high,maize
loamy,11.9,Vijayawada,150442,medium,tomato
loamy,4.5,Bengaluru,64247,medium,rice
clay,16.3,Lucknow,182794,low,chilli
loamy,13.1,Nashik,116385,high,tomato
sandy,6.0,Warangal,34209,medium,soybean
black,16.1,Pune,105632,high,maize
loamy,7.0,Vijayawada,87526,medium,tomato
loamy,13.0,Hyderabad,108443,medium,potato
clay,1.1,Vijayawada,15452,medium,rice
loamy,10.8,Vijayawada,58181,medium,onion
black,5.2,Pune,21804,medium,maize
black,13.4,Warangal,84208,medium,maize
loamy,4.3,Pune,46788,medium,potato
clay,12.2,Warangal,190927,medium,chilli
black,6.2,Bengaluru,42017,high,maize
red,18.1,Jaipur,103474,medium,millet
loamy,17.7,Pune,156584,medium,wheat
loamy,4.5,Nashik,41532,medium,onion
red,7.1,Pune,86061,medium,cotton
loamy,2.3,Bengaluru,27358,medium,rice
sandy,19.0,Nashik,91621,low,groundnut
red,1.9,Vijayawada,23172,medium,chilli
loamy,12.4,Lucknow,94567,medium,potato
black,11.9,Pune,109696,medium,soybean
clay,1.7,Delhi,13501,low,rice
red,15.3,Vijayawada,182761,medium,chilli
loamy,14.2,Vijayawada,108158,high,tomato
loamy,1.9,Pune,13958,medium,potato
clay,14.8,Hyderabad,121812,medium,rice
red,3.1,Hyderabad,6150,low,millet
red,3.6,Warangal,27282,medium,groundnut
loamy,13.7,Pune,156412,medium,potato
sandy,10.2,Pune,94035,medium,onion
loamy,15.0,Lucknow,122652,medium,wheat
black,5.1,Warangal,55002,medium,cotton
loamy,10.8,Nashik,159192,high,tomato
red,18.4,Pune,31309,medium,millet
black,4.6,Lucknow,49040,medium,cotton
red,5.6,Jaipur,26560,low,groundnut
loamy,6.0,Pune,77750,medium,potato
sandy,10.7,Nashik,109167,medium,onion
clay,18.6,Hyderabad,269729,high,rice
red,10.9,Nashik,162856,medium,cotton
loamy,1.7,Jaipur,11066,medium,wheat
sandy,8.7,Jaipur,61462,medium,groundnut
loamy,7.6,Nashik,70236,high,tomato
red,14.3,Jaipur,60243,low,groundnut
loamy,7.3,Delhi,50444,medium,potato
loamy,19.5,Delhi,202378,medium,potato
loamy,5.7,Pune,28574,medium,wheat
loamy,15.3,Jaipur,181837,medium,wheat
loamy,13.6,Pune,126262,medium,wheat
sandy,10.8,Warangal,82663,medium,groundnut
red,14.8,Warangal,170762,medium,chilli
clay,1.6,Bengaluru,12570,high,rice
loamy,18.5,Pune,182746,medium,soybean
loamy,13.9,Vijayawada,129172,high,tomato
red,10.9,Delhi,35411,medium,millet
sandy,6.5,Jaipur,38919,medium,millet
loamy,6.5,Bengaluru,51798,medium,rice
sandy,1.3,Pune,7600,medium,onion
loamy,7.7,Vijayawada,77064,high,rice
loamy,15.6,Vijayawada,196241,medium,rice
clay,2.5,Bengaluru,17078,low,maize
red,18.2,Hyderabad,246402,medium,cotton
red,17.6,Vijayawada,117842,medium,groundnut
black,6.7,Pune,51778,medium,soybean
loamy,11.0,Pune,117990,medium,wheat
red,19.3,Delhi,92690,medium,millet
loamy,6.7,Lucknow,52545,medium,potato
red,8.5,Nashik,73963,medium,cotton
loamy,16.8,Nashik,136241,high,tomato
loamy,17.4,Bengaluru,249004,medium,chilli
loamy,18.0,Jaipur,206856,medium,wheat
clay,3.2,Pune,23678,high,chilli
loamy,1.5,Hyderabad,13016,high,rice
loamy,4.5,Pune,46361,medium,onion
red,9.2,Jaipur,152964,medium,cotton
loamy,11.4,Warangal,167630,medium,chilli
loamy,6.2,Pune,77259,medium,potato
loamy,6.4,Bengaluru,80436,high,tomato
loamy,18.2,Delhi,197029,medium,wheat
black,17.3,Warangal,87147,high,maize
sandy,14.7,Nashik,102670,medium,onion
sandy,18.4,Pune,44752,medium,millet
red,11.0,Bengaluru,161095,medium,chilli
black,14.9,Warangal,63986,high,maize
black,19.6,Hyderabad,239947,medium,cotton
black,5.8,Hyderabad,51292,medium,cotton
sandy,1.6,Nashik,22319,medium,rice
black,4.8,Pune,39250,high,maize
red,16.5,Jaipur,129749,low,groundnut
black,7.8,Pune,50464,medium,cotton
loamy,16.8,Nashik,233899,high,tomato
red,16.2,Nashik,128896,medium,soybean
loamy,10.8,Pune,75861,medium,potato
loamy,18.9,Lucknow,100083,medium,wheat
red,11.9,Jaipur,58164,low,groundnut
red,17.9,Delhi,102788,medium,onion
loamy,4.8,Pune,34633,medium,soybean
clay,19.0,Hyderabad,236911,high,rice
black,12.6,Pune,97370,medium,soybean
black,10.4,Pune,57688,low,wheat
red,2.1,Nashik,23068,medium,cotton
red,8.2,Hyderabad,71203,medium,cotton
black,12.7,Warangal,87249,medium,maize
red,12.2,Jaipur,43441,medium,millet
black,3.4,Pune,29734,medium,cotton
black,8.6,Pune,50879,high,maize
loamy,14.4,Vijayawada,217808,medium,chilli
loamy,6.6,Pune,29070,medium,millet
red,2.0,Bengaluru,30192,medium,chilli
loamy,5.4,Nashik,59843,high,tomato
sandy,13.3,Nashik,107482,medium,onion
sandy,8.3,Hyderabad,79205,medium,potato
loamy,1.8,Delhi,18026,medium,wheat
red,7.6,Nashik,63917,medium,cotton
clay,14.8,Bengaluru,235695,medium,rice
loamy,14.7,Pune,126802,medium,soybean
red,5.9,Bengaluru,91147,medium,chilli
loamy,19.1,Nashik,203968,medium,tomato
red,6.2,Nashik,63066,medium,wheat
sandy,16.9,Warangal,113655,low,groundnut
loamy,7.8,Warangal,55043,high,maize
loamy,18.0,Hyderabad,277344,medium,chilli
loamy,6.2,Nashik,51965,medium,onion
loamy,13.4,Pune,89107,medium,potato
black,2.2,Warangal,16778,high,maize
sandy,12.4,Nashik,81118,high,groundnut
red,7.2,Pune,18053,low,millet
black,7.2,Delhi,27757,low,millet
red,4.0,Delhi,15708,medium,millet
loamy,6.9,Hyderabad,96479,high,rice
sandy,3.9,Pune,21166,medium,onion
loamy,14.9,Bengaluru,241263,medium,chilli
loamy,7.0,Vijayawada,83118,medium,onion
clay,19.6,Nashik,219245,low,cotton
black,7.9,Hyderabad,144500,medium,cotton
sandy,9.5,Pune,49141,medium,millet
loamy,12.5,Bengaluru,183305,medium,tomato
sandy,3.8,Warangal,21884,low,groundnut
loamy,9.0,Delhi,55828,medium,potato
sandy,14.1,Nashik,50807,medium,onion
loamy,11.6,Lucknow,77376,medium,wheat
red,18.5,Nashik,60983,low,groundnut
black,14.3,Delhi,140019,high,potato
loamy,13.8,Warangal,108879,medium,maize
loamy,5.4,Pune,44797,medium,potato
loamy,4.4,Delhi,48549,medium,potato
loamy,2.9,Hyderabad,22705,high,maize
red,4.2,Warangal,24680,medium,groundnut
sandy,11.5,Pune,45126,low,groundnut
loamy,16.8,Vijayawada,126967,medium,onion
clay,16.8,Bengaluru,198750,medium,rice
sandy,17.4,Delhi,108443,medium,groundnut
sandy,14.8,Jaipur,116588,medium,groundnut
red,2.4,Delhi,12865,medium,millet
sandy,17.0,Warangal,92075,medium,millet
sandy,8.1,Hyderabad,90907,high,chilli
red,6.4,Pune,99875,medium,cotton
black,11.6,Warangal,158834,medium,cotton
black,12.1,Nashik,194079,medium,cotton
loamy,10.3,Warangal,121836,medium,chilli
red,19.3,Vijayawada,178818,medium,chilli
red,4.3,Jaipur,31567,medium,groundnut
red,10.2,Pune,28959,medium,millet
loamy,17.9,Delhi,170257,medium,potato
loamy,16.4,Vijayawada,183073,high,tomato
loamy,16.6,Bengaluru,163835,high,tomato
sandy,3.1,Nashik,13488,low,groundnut
black,15.8,Hyderabad,58927,medium,soybean
red,11.2,Hyderabad,60468,low,millet
black,7.3,Bengaluru,46368,high,maize
black,11.0,Warangal,90886,medium,cotton
sandy,5.4,Nashik,47036,medium,onion
black,17.4,Hyderabad,165105,medium,cotton
loamy,12.2,Delhi,85280,medium,wheat
loamy,6.7,Bengaluru,91893,high,tomato
loamy,5.2,Delhi,51049,medium,potato
loamy,8.3,Vijayawada,116107,high,tomato
loamy,1.5,Delhi,13405,medium,potato
red,13.0,Nashik,160643,medium,cotton
loamy,8.7,Pune,72002,medium,wheat
loamy,15.1,Delhi,140478,medium,potato
black,11.7,Hyderabad,99735,medium,maize
loamy,10.8,Delhi,130109,medium,potato
black,1.3,Warangal,12901,high,wheat
loamy,9.1,Pune,59057,medium,onion
black,3.2,Bengaluru,21175,medium,maize
red,4.2,Nashik,22828,medium,groundnut
sandy,9.8,Nashik,68223,medium,groundnut
loamy,8.9,Lucknow,45438,low,millet
loamy,11.2,Pune,59424,high,maize
red,17.8,Jaipur,76479,low,millet
sandy,6.8,Delhi,32591,medium,millet
loamy,14.9,Pune,132368,medium,soybean
sandy,8.3,Nashik,56846,low,groundnut
loamy,5.4,Pune,32948,medium,soybean
black,2.5,Pune,35877,medium,cotton
clay,10.5,Bengaluru,127915,medium,rice
loamy,16.9,Pune,189601,medium,wheat
sandy,17.0,Pune,64940,low,millet
sandy,4.4,Vijayawada,47110,medium,onion
clay,17.6,Delhi,59857,high,millet
black,4.7,Pune,64833,medium,cotton
black,6.2,Nashik,63682,medium,soybean
red,2.1,Warangal,23764,medium,chilli
black,15.2,Jaipur,124840,high,soybean
loamy,14.6,Vijayawada,122315,medium,chilli
loamy,9.4,Delhi,73632,low,maize
clay,7.3,Bengaluru,102548,high,rice
clay,8.0,Vijayawada,125534,high,chilli
black,15.5,Hyderabad,106193,medium,rice
loamy,4.8,Bengaluru,20599,medium,maize
loamy,9.9,Pune,95004,medium,onion
loamy,2.6,Delhi,16086,medium,wheat
sandy,9.7,Jaipur,33226,low,millet
black,6.5,Nashik,56543,medium,cotton
red,4.8,Jaipur,20321,medium,groundnut
red,7.9,Jaipur,49062,medium,groundnut
loamy,11.8,Bengaluru,154049,medium,chilli
loamy,15.1,Bengaluru,205402,medium,tomato
sandy,18.5,Jaipur,112202,medium,groundnut
loamy,8.1,Nashik,90106,medium,onion
loamy,17.5,Vijayawada,146492,high,tomato
clay,18.3,Vijayawada,251039,medium,rice
sandy,11.9,Warangal,83787,low,groundnut
loamy,10.2,Bengaluru,121296,medium,tomato
loamy,19.1,Bengaluru,240320,medium,tomato
loamy,4.8,Bengaluru,78036,medium,tomato
black,15.6,Pune,87241,medium,soybean
sandy,4.3,Jaipur,12755,medium,millet
sandy,3.9,Warangal,14004,low,groundnut
clay,9.9,Jaipur,70173,low,onion
loamy,15.5,Bengaluru,194103,medium,chilli
loamy,12.3,Pune,123861,medium,wheat
sandy,8.0,Nashik,58680,medium,onion
sandy,4.6,Jaipur,16135,medium,millet
black,3.9,Hyderabad,64633,medium,cotton
red,8.6,Warangal,49568,low,groundnut
black,8.7,Nashik,55062,low,onion
loamy,13.4,Bengaluru,160258,medium,rice
loamy,3.2,Vijayawada,36448,medium,chilli
loamy,4.4,Pune,47441,medium,potato
loamy,18.7,Nashik,132601,medium,tomato
loamy,3.3,Pune,26551,medium,soybean
loamy,6.6,Delhi,76425,medium,potato
loamy,7.2,Vijayawada,82558,medium,rice
loamy,8.5,Bengaluru,72078,medium,chilli
loamy,18.0,Pune,146660,medium,maize
red,2.5,Lucknow,14323,low,millet
sandy,13.1,Pune,32959,medium,millet
sandy,15.1,Nashik,70716,low,groundnut
black,11.2,Bengaluru,109641,low,wheat
black,9.3,Hyderabad,100631,medium,cotton
loamy,1.1,Pune,9289,high,maize
red,16.0,Nashik,184003,medium,cotton
loamy,12.6,Warangal,154407,medium,chilli
red,18.7,Nashik,159855,medium,soybean
clay,15.1,Vijayawada,120636,medium,rice
black,17.2,Nashik,228436,medium,cotton
loamy,6.5,Jaipur,77619,medium,wheat
red,7.7,Jaipur,44917,low,millet
loamy,18.5,Vijayawada,256998,high,tomato
loamy,3.1,Bengaluru,16834,medium,maize
sandy,5.1,Nashik,28953,medium,groundnut
loamy,13.0,Hyderabad,140376,medium,soybean
red,6.4,Vijayawada,92709,medium,chilli
loamy,7.3,Delhi,44118,medium,potato
loamy,4.6,Pune,55976,medium,potato
loamy,19.0,Bengaluru,256093,high,rice
sandy,15.1,Pune,11246,medium,millet
loamy,5.5,Vijayawada,70604,medium,chilli
loamy,1.6,Vijayawada,15744,medium,potato
black,9.8,Pune,100171,medium,soybean
red,2.3,Warangal,32333,medium,chilli
clay,19.2,Vijayawada,132906,medium,rice
loamy,8.6,Pune,49738,medium,onion
clay,6.0,Hyderabad,44149,medium,rice
black,3.7,Nashik,28511,medium,soybean
black,2.4,Warangal,29581,medium,cotton
loamy,9.6,Delhi,113552,medium,potato
sandy,5.2,Jaipur,33380,low,groundnut
red,6.8,Pune,20654,medium,millet
loamy,13.1,Lucknow,124683,medium,potato
red,7.9,Vijayawada,107895,medium,rice
sandy,12.2,Vijayawada,76308,medium,onion
sandy,4.3,Pune,36015,medium,onion
loamy,3.9,Nashik,43110,high,tomato
black,18.3,Nashik,151319,medium,soybean
red,8.6,Bengaluru,92580,low,rice
red,9.5,Pune,41876,low,wheat
sandy,14.6,Vijayawada,119901,medium,onion
black,16.8,Warangal,149016,high,maize
loamy,5.6,Pune,32466,high,wheat
black,4.7,Nashik,47833,medium,soybean
loamy,6.7,Delhi,52379,medium,wheat
loamy,13.1,Bengaluru,112046,medium,rice
clay,7.2,Pune,89687,medium,potato
loamy,13.9,Pune,128766,medium,potato
sandy,18.0,Nashik,205034,medium,onion
loamy,2.8,Nashik,29854,medium,onion
loamy,10.5,Lucknow,94901,medium,potato
red,11.8,Pune,39463,low,millet
loamy,13.6,Pune,130369,high,maize
black,6.0,Delhi,22592,high,millet
red,9.5,Nashik,51167,medium,groundnut
loamy,13.3,Bengaluru,106961,medium,tomato
clay,5.9,Bengaluru,31665,low,maize
red,4.8,Delhi,27154,medium,millet
red,7.2,Warangal,64622,medium,cotton
red,18.3,Hyderabad,203360,medium,potato
loamy,6.2,Lucknow,41759,medium,potato
red,7.2,Delhi,9826,low,millet
loamy,2.7,Pune,39216,high,tomato
red,2.3,Warangal,22634,medium,cotton
clay,5.3,Bengaluru,16994,medium,millet
red,13.2,Pune,28401,medium,millet
loamy,8.1,Vijayawada,74090,medium,tomato
black,7.3,Hyderabad,60038,medium,soybean
loamy,11.9,Jaipur,122631,medium,wheat
loamy,9.6,Pune,121923,medium,potato
loamy,14.2,Hyderabad,99053,medium,maize
black,8.4,Pune,59498,high,tomato
clay,15.6,Vijayawada,139173,high,rice
loamy,3.8,Vijayawada,26600,medium,onion
sandy,2.3,Jaipur,15040,low,groundnut
loamy,6.2,Pune,19034,low,millet
black,1.5,Hyderabad,15107,medium,cotton
red,8.2,Hyderabad,86947,medium,cotton
loamy,10.3,Jaipur,79800,medium,wheat
loamy,7.8,Pune,60063,medium,soybean
red,19.3,Jaipur,117996,low,groundnut
loamy,14.3,Pune,127859,medium,wheat
red,18.0,Warangal,208810,medium,chilli
loamy,4.0,Bengaluru,24485,high,rice
loamy,8.9,Pune,87588,medium,potato
loamy,15.9,Pune,81236,medium,maize
clay,12.8,Bengaluru,136051,medium,rice
clay,3.7,Vijayawada,23859,high,rice
loamy,18.0,Nashik,149619,medium,tomato
loamy,9.4,Pune,118485,medium,wheat
sandy,3.4,Jaipur,26383,medium,soybean
loamy,5.2,Vijayawada,80533,medium,chilli
loamy,8.7,Warangal,77172,low,maize
black,7.2,Pune,70446,medium,soybean
loamy,3.8,Delhi,43819,medium,potato
clay,13.1,Hyderabad,109877,high,rice
red,12.9,Hyderabad,175081,medium,cotton
black,3.2,Hyderabad,21511,medium,soybean
red,17.6,Jaipur,82244,medium,groundnut
loamy,7.9,Vijayawada,66718,medium,onion
loamy,11.5,Warangal,147013,medium,chilli
red,18.9,Warangal,110723,medium,groundnut
loamy,4.8,Vijayawada,37957,medium,onion
sandy,14.2,Pune,62147,low,millet
loamy,17.3,Vijayawada,124058,medium,onion
loamy,19.2,Delhi,204483,high,cotton
loamy,18.8,Bengaluru,210924,high,tomato
clay,2.3,Bengaluru,32283,high,rice
loamy,13.3,Nashik,161302,medium,tomato
loamy,3.7,Nashik,36172,high,tomato
loamy,15.5,Bengaluru,137429,medium,tomato
clay,13.5,Bengaluru,186891,high,rice
red,19.6,Jaipur,78537,high,groundnut
sandy,9.1,Pune,24928,medium,millet
black,20.0,Bengaluru,148528,medium,maize
clay,9.2,Jaipur,96447,low,soybean
clay,9.0,Vijayawada,129528,medium,rice
sandy,12.1,Warangal,87894,low,groundnut
red,11.7,Hyderabad,179580,medium,cotton
loamy,16.1,Hyderabad,91873,medium,soybean
loamy,7.6,Lucknow,66805,medium,wheat
red,13.7,Hyderabad,165158,high,potato
loamy,18.5,Bengaluru,190764,high,rice
clay,19.3,Bengaluru,202831,medium,rice
sandy,15.6,Warangal,113976,medium,groundnut
black,17.3,Hyderabad,179809,high,maize
sandy,13.1,Delhi,16458,medium,millet
sandy,7.7,Jaipur,37851,medium,millet
loamy,12.1,Nashik,75124,low,potato
sandy,2.7,Pune,16187,medium,onion
black,7.7,Vijayawada,74625,medium,soybean
sandy,2.6,Pune,20852,high,maize
black,10.4,Pune,155186,medium,cotton
black,5.6,Pune,55470,medium,cotton
black,11.8,Delhi,156843,medium,rice
loamy,19.7,Vijayawada,205419,high,tomato
red,19.2,Warangal,125591,low,groundnut
loamy,11.2,Warangal,114878,medium,maize
red,11.9,Nashik,94431,low,wheat
clay,19.9,Bengaluru,233168,medium,rice
loamy,14.0,Vijayawada,213606,medium,rice
clay,10.3,Pune,55222,high,wheat
loamy,13.8,Jaipur,83219,high,maize
red,1.1,Pune,6430,low,millet
loamy,8.9,Pune,80302,medium,soybean
loamy,10.4,Pune,43609,medium,maize
loamy,10.0,Pune,103420,medium,wheat
red,2.7,Jaipur,16456,medium,millet
sandy,9.6,Nashik,68624,medium,groundnut
loamy,1.0,Delhi,9890,medium,wheat
sandy,11.7,Pune,82896,medium,onion
loamy,19.5,Jaipur,143960,high,wheat
loamy,10.6,Nashik,68711,high,wheat
loamy,14.0,Delhi,137477,medium,potato
black,12.7,Pune,113728,medium,soybean
red,2.2,Jaipur,6077,medium,millet
black,2.1,Pune,27927,medium,cotton
red,7.1,Lucknow,51063,low,potato
sandy,15.5,Pune,142575,medium,onion
black,1.5,Delhi,8206,medium,groundnut
loamy,15.6,Lucknow,177905,medium,wheat
loamy,11.3,Hyderabad,132991,high,rice
loamy,7.7,Warangal,92173,medium,chilli
sandy,1.8,Vijayawada,17748,medium,onion
black,10.4,Nashik,93144,medium,cotton
black,18.6,Nashik,95090,medium,soybean
clay,16.9,Delhi,151985,low,rice
loamy,17.4,Vijayawada,259573,medium,rice
red,8.9,Bengaluru,72392,medium,chilli
loamy,14.2,Pune,98448,medium,groundnut
clay,13.1,Bengaluru,196989,high,rice
loamy,15.1,Jaipur,140294,medium,wheat
red,11.8,Bengaluru,138701,medium,chilli
loamy,10.8,Delhi,124489,medium,wheat
loamy,2.6,Hyderabad,14838,high,rice
loamy,1.8,Jaipur,19428,medium,wheat
loamy,1.3,Vijayawada,11917,medium,onion
black,13.2,Hyderabad,92766,medium,maize
loamy,7.4,Nashik,69642,medium,tomato
loamy,4.1,Lucknow,53003,medium,potato
sandy,1.3,Warangal,13484,low,onion
black,1.1,Warangal,5000,high,maize
clay,11.7,Hyderabad,187080,high,rice
loamy,15.2,Lucknow,153054,medium,wheat
red,18.1,Bengaluru,252737,medium,chilli
loamy,4.3,Lucknow,41967,medium,potato
loamy,1.8,Hyderabad,20884,medium,tomato
loamy,8.7,Nashik,101146,high,tomato
loamy,7.2,Bengaluru,94142,high,tomato
loamy,19.0,Nashik,180557,medium,tomato
red,6.8,Bengaluru,90782,medium,chilli
loamy,5.1,Bengaluru,63248,high,tomato
black,14.2,Delhi,78378,high,onion
loamy,13.2,Vijayawada,189868,high,tomato
black,17.5,Nashik,123795,medium,soybean
black,2.2,Warangal,18549,high,maize
loamy,4.9,Hyderabad,51175,medium,rice
clay,18.2,Nashik,180325,low,maize
loamy,18.1,Delhi,115430,medium,potato
loamy,9.9,Pune,76039,high,maize
sandy,15.4,Nashik,39993,low,groundnut
black,12.1,Jaipur,61915,medium,maize
red,19.0,Vijayawada,116933,high,millet
loamy,12.9,Nashik,70323,medium,soybean
loamy,6.6,Bengaluru,70523,medium,chilli
loamy,5.8,Pune,41851,medium,wheat
loamy,5.5,Pune,39529,medium,onion
red,15.4,Jaipur,73735,medium,groundnut
loamy,1.4,Lucknow,8595,medium,potato
loamy,6.1,Bengaluru,45576,high,tomato
loamy,7.6,Vijayawada,87279,high,tomato
red,16.3,Warangal,34252,medium,groundnut
sandy,4.4,Vijayawada,11886,low,millet
loamy,15.0,Delhi,76896,medium,wheat
red,17.6,Vijayawada,102414,low,millet
loamy,3.6,Pune,27354,medium,potato
loamy,14.6,Pune,117600,medium,wheat
loamy,4.5,Nashik,60714,high,tomato
sandy,4.3,Jaipur,27203,medium,groundnut
black,7.1,Warangal,74312,medium,cotton
red,16.7,Nashik,181372,medium,cotton
red,10.4,Pune,92012,medium,cotton
clay,19.6,Bengaluru,301565,high,rice
red,7.1,Bengaluru,81222,medium,chilli
red,7.0,Delhi,27773,medium,millet
black,9.8,Nashik,131029,medium,cotton
loamy,8.3,Nashik,73556,high,tomato
clay,9.3,Vijayawada,104487,medium,rice
loamy,8.4,Vijayawada,91089,high,chilli
loamy,16.8,Bengaluru,110382,medium,maize
loamy,19.0,Vijayawada,219301,medium,onion
loamy,12.5,Warangal,69530,high,maize
black,6.9,Bengaluru,49779,medium,maize
black,6.4,Warangal,50727,high,maize
loamy,8.0,Jaipur,19308,medium,millet
red,15.9,Nashik,277117,medium,cotton
sandy,11.9,Nashik,109696,medium,onion
black,1.4,Hyderabad,21536,medium,cotton
black,9.8,Nashik,59442,low,onion
red,17.1,Warangal,131078,low,groundnut
loamy,11.7,Vijayawada,138418,high,rice
black,19.2,Lucknow,68048,medium,groundnut
loamy,16.2,Hyderabad,174934,medium,soybean
red,4.9,Nashik,15049,medium,groundnut
red,19.9,Warangal,120335,low,groundnut
loamy,6.2,Delhi,52081,medium,potato
black,17.5,Nashik,89442,medium,soybean
loamy,12.9,Vijayawada,127908,medium,onion
loamy,7.2,Bengaluru,60858,medium,chilli
black,3.9,Nashik,16908,medium,soybean
loamy,8.8,Pune,85185,medium,onion
loamy,2.7,Pune,18984,medium,wheat
black,14.0,Pune,155904,medium,cotton
loamy,5.4,Hyderabad,35385,medium,rice
loamy,13.1,Nashik,80124,high,maize
loamy,1.8,Nashik,22389,high,tomato
black,12.1,Pune,88204,medium,soybean
sandy,18.4,Jaipur,55159,medium,millet
loamy,12.5,Pune,130887,medium,soybean
red,9.5,Jaipur,36766,medium,millet
red,16.3,Warangal,154475,medium,chilli
red,13.3,Nashik,169319,medium,cotton
red,16.8,Warangal,202638,medium,cotton
red,4.1,Delhi,18699,medium,millet
loamy,12.8,Lucknow,71810,medium,potato
sandy,19.3,Jaipur,212284,medium,rice
loamy,8.9,Pune,87990,medium,wheat
loamy,18.7,Vijayawada,146963,high,rice
black,14.8,Pune,121182,medium,cotton
red,14.4,Lucknow,137952,high,potato
loamy,1.6,Lucknow,17936,medium,potato
loamy,1.8,Lucknow,11112,medium,potato
clay,6.1,Pune,68810,high,wheat
loamy,17.6,Bengaluru,214030,medium,chilli
loamy,2.7,Vijayawada,20573,medium,tomato
red,11.3,Delhi,50092,low,millet
red,9.9,Jaipur,57443,medium,millet
sandy,19.3,Pune,107188,medium,millet
loamy,11.2,Lucknow,124490,medium,wheat
loamy,7.5,Bengaluru,121446,medium,chilli
loamy,2.6,Vijayawada,29367,high,chilli
red,1.1,Hyderabad,15191,high,tomato
loamy,7.2,Vijayawada,67603,medium,onion
red,8.8,Jaipur,50876,medium,millet
loamy,16.2,Jaipur,102286,medium,wheat
loamy,5.0,Lucknow,56615,medium,potato
loamy,4.9,Warangal,41197,medium,chilli
red,1.2,Warangal,17005,medium,chilli
loamy,12.2,Pune,85287,medium,soybean
loamy,1.6,Lucknow,20085,medium,potato
black,12.8,Warangal,147717,high,potato
black,10.0,Delhi,8224,low,millet
loamy,5.6,Pune,55880,medium,onion
loamy,14.0,Lucknow,159345,medium,potato
sandy,9.8,Jaipur,53437,high,soybean
black,10.3,Hyderabad,59441,medium,soybean
loamy,14.0,Delhi,144813,medium,potato
loamy,16.3,Delhi,164245,medium,wheat
loamy,14.0,Pune,76498,high,maize
loamy,15.1,Lucknow,123143,medium,potato
loamy,1.4,Nashik,14287,medium,soybean
clay,1.6,Lucknow,10229,high,onion
loamy,19.0,Nashik,154724,medium,tomato
sandy,11.8,Jaipur,25464,low,millet
red,12.1,Vijayawada,97905,medium,chilli
loamy,14.3,Jaipur,127793,medium,wheat
loamy,11.1,Bengaluru,163483,high,rice
loamy,13.6,Bengaluru,73230,medium,groundnut
loamy,3.4,Delhi,23559,medium,potato
loamy,5.7,Vijayawada,33922,medium,onion
clay,9.2,Pune,113404,low,tomato
sandy,12.5,Pune,55610,low,millet
black,5.6,Hyderabad,86789,medium,cotton
loamy,11.7,Vijayawada,63238,medium,onion
loamy,13.4,Hyderabad,88134,high,maize
red,15.4,Delhi,82414,medium,millet
black,19.5,Nashik,109125,medium,soybean
loamy,12.3,Vijayawada,103430,medium,onion
red,16.7,Pune,197480,medium,cotton
sandy,4.6,Vijayawada,48554,medium,onion
loamy,7.9,Pune,49333,high,soybean
loamy,14.8,Vijayawada,174894,medium,onion
sandy,5.7,Jaipur,43893,medium,groundnut
loamy,5.8,Lucknow,54163,medium,potato
black,18.6,Warangal,170115,low,tomato
red,4.8,Pune,60956,high,potato
black,6.9,Warangal,84482,high,rice
black,3.0,Warangal,28656,medium,maize
loamy,2.1,Nashik,15196,medium,onion
loamy,12.7,Pune,103563,medium,wheat
loamy,7.0,Pune,36052,medium,soybean
